日期,收盘,开盘,高,低,交易量,涨跌幅
2014年12月29日,"43,187.64","43,005.67","43,320.13","43,004.06",105.72M,0.43%
2014年12月26日,"43,002.17","43,009.14","43,161.55","42,948.99",63.36M,0.00%
2014年12月24日,"43,002.87","43,118.97","43,120.52","42,942.80",45.06M,-0.28%
2014年12月23日,"43,122.73","42,874.34","43,124.85","42,853.12",119.77M,0.58%
2014年12月22日,"42,873.01","42,537.69","42,873.01","42,536.96",152.13M,0.81%
2014年12月19日,"42,529.89","42,483.46","42,810.18","42,403.67",306.78M,0.13%
2014年12月18日,"42,475.67","41,011.70","42,721.34","41,011.70",277.26M,3.59%
2014年12月17日,"41,004.44","40,225.51","41,354.63","40,176.02",354.71M,1.94%
2014年12月16日,"40,225.08","40,337.27","40,844.36","39,580.78",294.26M,-0.27%
2014年12月15日,"40,334.59","41,718.33","41,718.49","40,125.53",378.13M,-3.31%
2014年12月11日,"41,714.57","41,372.92","42,025.50","41,345.49",221.48M,0.83%
2014年12月10日,"41,372.66","42,339.89","42,379.80","41,295.27",219.01M,-2.28%
2014年12月9日,"42,339.63","42,940.76","42,940.76","42,137.41",222.99M,-1.40%
2014年12月8日,"42,941.83","43,253.18","43,399.44","42,746.67",167.38M,-0.67%
2014年12月5日,"43,230.34","42,821.25","43,293.53","42,799.14",174.68M,0.97%
2014年12月4日,"42,816.15","43,112.56","43,142.21","42,728.05",224.13M,-0.69%
2014年12月3日,"43,112.29","43,017.47","43,317.90","42,628.16",210.83M,0.24%
2014年12月2日,"43,008.07","43,403.89","43,550.24","42,902.46",195.86M,-0.88%
2014年12月1日,"43,392.07","44,179.21","44,248.11","43,389.84",261.27M,-1.81%
2014年11月28日,"44,190.47","44,688.96","44,725.65","44,138.28",185.32M,-1.12%
2014年11月27日,"44,689.21","44,667.62","44,732.05","44,608.62",37.61M,0.04%
2014年11月26日,"44,672.20","44,438.06","44,713.42","44,422.83",143.54M,0.52%
2014年11月25日,"44,441.02","44,621.48","44,768.38","44,436.85",365.85M,-0.40%
2014年11月24日,"44,621.07","44,638.66","44,755.73","44,563.15",167.35M,-0.03%
2014年11月21日,"44,633.28","44,206.23","44,910.04","44,206.23",302.70M,0.96%
2014年11月20日,"44,209.42","44,114.90","44,209.93","43,955.79",203.87M,0.21%
2014年11月19日,"44,118.13","43,491.45","44,122.17","43,491.45",219.55M,1.44%
2014年11月18日,"43,491.45","43,366.09","43,569.33","43,336.11",277.10M,0.28%
2014年11月14日,"43,372.01","43,759.67","43,762.13","43,296.64",215.76M,-0.85%
2014年11月13日,"43,743.80","43,744.70","43,888.26","43,524.62",238.75M,0.00%
2014年11月12日,"43,744.57","44,300.54","44,363.73","43,606.00",192.23M,-1.26%
2014年11月11日,"44,300.83","44,523.00","44,637.07","44,177.32",122.41M,-0.50%
2014年11月10日,"44,523.00","44,615.27","44,727.56","44,450.59",161.19M,-0.21%
