Date,Price,Open,High,Low,Vol.,Change %
2016-09-21,"28,507.42","28,554.38","28,689.36","28,462.33",12.75K,-0.06%
2016-09-20,"28,523.20","28,690.66","28,698.81","28,480.53",8.17K,-0.39%
2016-09-19,"28,634.50","28,626.60","28,714.77","28,552.55",12.97K,0.12%
2016-09-16,"28,599.03","28,520.30","28,778.64","28,494.59",13.83K,0.66%
2016-09-15,"28,412.89","28,398.33","28,454.02","28,311.11",9.92K,0.14%
2016-09-14,"28,372.23","28,345.49","28,416.41","28,259.38",11.93K,0.07%
2016-09-12,"28,353.54","28,481.09","28,481.11","28,251.31",14.11K,-1.54%
2016-09-09,"28,797.25","29,062.90","29,062.90","28,755.08",12.11K,-0.85%
2016-09-08,"29,045.28","28,929.46","29,077.28","28,854.56",15.47K,0.41%
2016-09-07,"28,926.36","29,035.67","29,067.84","28,911.31",20.40K,-0.18%
2016-09-06,"28,978.02","28,631.27","29,013.40","28,631.27",18.79K,1.56%
2016-09-02,"28,532.11","28,498.72","28,581.58","28,427.63",12.38K,0.38%
2016-09-01,"28,423.48","28,459.09","28,548.85","28,386.61",17.32K,-0.10%
2016-08-31,"28,452.17","28,372.25","28,532.25","28,363.10",10.74K,0.39%
2016-08-30,"28,343.01","28,012.46","28,478.02","28,010.66",10.88K,1.58%
2016-08-29,"27,902.66","27,827.26","27,952.85","27,698.71",12.24K,0.43%
2016-08-26,"27,782.25","27,882.75","27,935.88","27,696.99",9.44K,-0.19%
2016-08-25,"27,835.91","28,103.60","28,154.21","27,803.24",6.90K,-0.80%
2016-08-24,"28,059.94","28,065.25","28,108.39","27,959.87",8.34K,0.25%
2016-08-23,"27,990.21","28,012.56","28,028.98","27,854.43",12.79K,0.02%
2016-08-22,"27,985.54","28,088.07","28,143.28","27,918.05",13.00K,-0.33%
2016-08-19,"28,077.00","28,167.66","28,212.30","28,026.12",16.11K,-0.17%
2016-08-18,"28,123.44","28,077.64","28,214.17","28,077.00",12.88K,0.42%
2016-08-17,"28,005.37","28,061.79","28,174.30","27,960.14",12.02K,-0.21%
2016-08-16,"28,064.61","28,190.04","28,199.10","27,942.65",15.04K,-0.31%
2016-08-12,"28,152.40","27,919.95","28,203.27","27,900.91",21.64K,1.05%
2016-08-11,"27,859.60","27,805.94","27,902.39","27,697.33",10.24K,0.31%
2016-08-10,"27,774.88","28,133.36","28,143.28","27,736.62",15.89K,-1.10%
2016-08-09,"28,085.16","28,289.22","28,289.96","27,956.77",14.62K,-0.35%
2016-08-08,"28,182.57","28,181.92","28,226.38","28,128.06",20.93K,0.37%
2016-08-05,"28,078.35","27,810.55","28,110.37","27,795.74",14.10K,1.31%
2016-08-04,"27,714.37","27,899.88","27,921.91","27,627.97",15.03K,0.06%
2016-08-03,"27,697.51","28,008.52","28,015.43","27,647.14",12.24K,-1.02%
2016-08-02,"27,981.71","28,069.12","28,175.22","27,943.91",10.42K,-0.08%
2016-08-01,"28,003.12","28,083.08","28,284.85","27,873.53",14.11K,-0.17%
2016-07-29,"28,051.86","28,232.87","28,233.47","28,037.87",11.86K,-0.56%
2016-07-28,"28,208.62","28,108.78","28,240.20","28,064.90",15.10K,0.66%
2016-07-27,"28,024.33","27,976.14","28,210.88","27,899.93",10.72K,0.17%
2016-07-26,"27,976.52","28,121.37","28,149.53","27,927.13",11.41K,-0.42%
2016-07-25,"28,095.34","27,753.96","28,110.37","27,736.51",15.84K,1.05%
2016-07-22,"27,803.24","27,721.72","27,832.45","27,646.21",9.78K,0.33%
2016-07-21,"27,710.52","27,980.07","27,988.76","27,687.54",12.57K,-0.74%
2016-07-20,"27,915.89","27,775.70","27,935.18","27,759.71",12.90K,0.46%
2016-07-19,"27,787.62","27,790.05","27,826.69","27,637.98",17.26K,0.15%
2016-07-18,"27,746.66","27,920.66","28,013.50","27,697.69",21.13K,-0.32%
