Date,Price,Open,High,Low,Vol.,Change %
2015-12-07,739.09,742.65,745.34,733.55,608.75M,-0.48%
2015-12-04,742.65,754.53,758.88,733.71,763.35M,-1.57%
2015-12-03,754.53,763.95,771.41,753.92,626.28M,-1.23%
2015-12-02,763.95,767.85,777.67,762.46,778.78M,-0.51%
2015-12-01,767.85,752.33,767.85,752.33,674.36M,2.06%
2015-11-30,752.33,756.38,765.35,750.97,502.92M,-0.54%
2015-11-27,756.38,748.24,765.23,748.24,683.04M,0.85%
2015-11-26,749.98,766.25,766.9,749.93,633.41M,-2.39%
2015-11-25,768.37,765.7,769.75,755.21,826.09M,0.78%
2015-11-24,762.43,798.69,800.08,760.96,1.04B,-4.39%
2015-11-23,797.45,806.53,807.84,797.45,414.07M,-1.16%
2015-11-20,806.82,803.98,811.22,803.85,446.00M,0.30%
2015-11-19,804.41,808.6,811.18,801.86,512.30M,-0.09%
2015-11-18,805.14,810.64,814.76,803.36,506.16M,-0.79%
2015-11-17,811.53,813.26,818.58,811.53,535.42M,0.13%
2015-11-16,810.46,815.81,818.22,810.19,464.24M,-1.02%
2015-11-13,818.79,821.27,822.92,816.25,559.75M,-0.32%
2015-11-12,821.43,822.17,822.96,814.26,539.94M,0.52%
2015-11-11,817.18,814.85,823.65,814.85,541.92M,0.67%
2015-11-10,811.74,823.11,825.92,811.74,570.72M,-1.07%
2015-11-09,820.5,820,826.22,817.57,602.45M,0.15%
2015-11-06,819.3,832.01,832.32,817.18,581.25M,-1.24%
2015-11-05,829.56,832.35,833.29,825.47,662.89M,-0.87%
2015-11-04,836.84,832.85,837.85,832.85,730.03M,0.93%
2015-11-03,829.14,838.57,839.27,828.53,826.56M,-0.93%
2015-11-02,836.94,836.54,843.54,832.29,1.26B,5.40%
2015-10-30,794.09,782.3,795.05,775.85,593.89M,1.11%
2015-10-28,785.36,786.34,786.51,780,250.26M,-0.16%
2015-10-27,786.63,792.06,793.84,780.95,543.97M,-0.76%
2015-10-26,792.62,801.72,804.03,792.2,598.52M,-1.08%
2015-10-23,801.25,808.92,810.67,800.91,749.33M,-0.16%
2015-10-22,802.56,798.43,805.32,798.43,690.17M,0.62%
2015-10-21,797.65,803.96,804.24,792.84,757.88M,-0.91%
2015-10-20,804.96,798.1,805.94,796.78,733.44M,0.95%
2015-10-19,797.35,788.46,798.95,788.46,593.06M,1.59%
2015-10-16,784.84,796.15,796.15,784.84,553.96M,-0.98%
2015-10-15,792.63,800.13,803.83,792.63,718.55M,-0.15%
2015-10-14,793.8,783.89,795.03,783.18,670.29M,1.30%
2015-10-13,783.59,793.43,794.95,778.89,647.50M,-1.19%
2015-10-12,793,785.47,796.2,785.47,628.43M,0.11%
2015-10-09,792.15,792.37,796.16,788.42,728.40M,0.70%
2015-10-08,786.61,783.09,792.46,780.13,732.87M,-0.05%
2015-10-07,786.98,778.22,787.27,776.33,938.57M,1.86%
2015-10-06,772.59,769.77,776.07,766.25,685.16M,0.46%
2015-10-05,769.03,753.13,769.03,753.13,725.11M,3.37%
2015-10-02,743.97,745.71,746.91,738.26,528.89M,-0.18%
2015-10-01,745.31,746.23,748.36,740.21,537.82M,0.44%
2015-09-30,742.05,746.5,747.53,737.83,583.92M,-0.07%
2015-09-29,742.58,728.66,743.27,726.38,588.00M,1.29%
2015-09-28,733.15,747.59,751.28,733.15,433.50M,-1.74%
2015-09-23,746.1,748.33,750.7,746.1,158.06M,-0.51%
2015-09-22,749.94,760.47,761.9,745.93,425.92M,-1.14%
2015-09-21,758.61,748.8,760.28,745.25,553.37M,1.01%
2015-09-18,750.99,748.8,751.02,740.11,584.04M,0.16%
