Date,Price,Open,High,Low,Vol.,Change %
2019-01-17,"26,755.63","26,953.21","27,012.19","26,703.31",1.92B,-0.54%
2019-01-16,"26,902.10","26,702.93","26,903.78","26,567.52",1.77B,0.27%
2019-01-15,"26,830.29","26,518.62","26,838.55","26,427.45",1.88B,2.02%
2019-01-14,"26,298.33","26,559.68","26,575.33","26,195.78",1.47B,-1.38%
2019-01-11,"26,667.27","26,692.02","26,692.02","26,494.86",1.86B,0.55%
2019-01-10,"26,521.43","26,391.78","26,588.21","26,212.34",2.00B,0.22%
2019-01-09,"26,462.32","26,237.29","26,597.07","26,192.65",2.76B,2.27%
2019-01-08,"25,875.45","25,852.50","25,960.89","25,688.50",1.63B,0.15%
2019-01-07,"25,835.70","26,015.84","26,043.64","25,753.46",1.49B,0.82%
2019-01-04,"25,626.03","24,946.12","25,626.03","24,924.73",1.76B,2.24%
2019-01-03,"25,064.36","25,077.68","25,262.21","24,896.87",1.53B,-0.26%
2019-01-02,"25,130.35","25,824.44","25,824.44","25,055.27",1.72B,-2.77%
2018-12-31,"25,845.70","25,732.52","25,916.23","25,682.66",852.07M,1.34%
2018-12-28,"25,504.20","25,502.34","25,600.25","25,416.36",1.26B,0.10%
2018-12-27,"25,478.88","25,818.81","25,920.63","25,446.80",1.35B,-0.67%
2018-12-24,"25,651.38","25,515.40","25,651.38","25,421.43",1.11B,-0.40%
2018-12-21,"25,753.42","25,512.30","25,805.61","25,313.75",2.00B,0.51%
2018-12-20,"25,623.53","25,723.53","25,859.82","25,416.88",1.77B,-0.94%
2018-12-19,"25,865.39","25,860.68","25,925.99","25,784.09",1.47B,0.20%
2018-12-18,"25,814.25","25,903.98","26,152.88","25,713.50",1.49B,-1.05%
2018-12-17,"26,087.98","26,178.04","26,186.30","26,002.30",1.07B,-0.03%
2018-12-14,"26,094.79","26,219.00","26,219.00","26,061.47",1.39B,-1.62%
2018-12-13,"26,524.35","26,417.89","26,581.93","26,314.77",1.80B,1.29%
2018-12-12,"26,186.71","26,054.01","26,238.73","26,013.36",1.43B,1.61%
2018-12-11,"25,771.67","25,623.40","25,861.73","25,623.40",1.23B,0.07%
2018-12-10,"25,752.38","25,794.95","25,845.34","25,570.89",1.59B,-1.19%
2018-12-07,"26,063.76","26,249.81","26,280.66","26,055.78",2.81B,-0.35%
2018-12-06,"26,156.38","26,349.42","26,381.12","26,016.09",2.12B,-2.47%
2018-12-05,"26,819.68","26,745.69","26,914.87","26,745.69",1.37B,-1.62%
2018-12-04,"27,260.44","27,119.19","27,260.44","26,984.71",1.94B,0.29%
2018-12-03,"27,182.04","27,185.66","27,259.43","27,006.83",2.63B,2.55%
2018-11-30,"26,506.75","26,506.09","26,683.25","26,396.62",2.06B,0.21%
2018-11-29,"26,451.03","26,904.21","26,923.33","26,399.81",1.52B,-0.87%
2018-11-28,"26,682.56","26,406.68","26,705.30","26,332.66",1.46B,1.33%
2018-11-27,"26,331.96","26,345.37","26,417.84","26,158.97",1.44B,-0.17%
2018-11-26,"26,376.18","26,099.35","26,413.76","26,031.90",1.66B,1.73%
2018-11-23,"25,927.68","25,950.07","25,983.25","25,807.26",904.19M,-0.35%
2018-11-22,"26,019.41","26,139.39","26,139.39","25,873.38",1.04B,0.18%
2018-11-21,"25,971.47","25,496.85","25,998.28","25,494.51",1.44B,0.51%
2018-11-20,"25,840.34","26,043.51","26,132.29","25,776.22",1.24B,-2.02%
2018-11-19,"26,372.00","26,278.87","26,397.39","26,146.39",1.36B,0.72%
2018-11-16,"26,183.53","26,041.56","26,197.31","25,850.04",1.37B,0.31%
2018-11-15,"26,103.34","25,862.18","26,127.14","25,611.72",1.58B,1.75%
2018-11-14,"25,654.43","25,874.36","25,874.36","25,489.86",1.48B,-0.54%
2018-11-13,"25,792.87","25,092.30","25,792.87","25,092.30",1.74B,0.62%
2018-11-12,"25,633.18","25,576.28","25,765.96","25,505.33",1.21B,0.12%
2018-11-09,"25,601.92","25,925.09","25,925.09","25,475.32",1.90B,-2.39%
2018-11-08,"26,227.72","26,491.27","26,491.27","26,141.25",1.71B,0.31%
2018-11-07,"26,147.69","26,125.09","26,530.87","25,920.72",1.78B,0.10%
2018-11-06,"26,120.96","26,062.24","26,159.83","25,826.69",1.61B,0.72%
2018-11-05,"25,934.39","26,050.34","26,146.81","25,747.52",1.68B,-2.08%
2018-11-02,"26,486.35","25,980.44","26,486.35","25,909.71",3.63B,4.21%
2018-11-01,"25,416.00","25,228.75","25,535.12","25,190.90",2.24B,1.75%
2018-10-31,"24,979.69","24,752.83","24,979.69","24,700.11",2.44B,1.60%
2018-10-30,"24,585.53","24,765.12","24,939.18","24,540.63",2.17B,-0.91%
2018-10-29,"24,812.04","24,955.79","24,955.79","24,594.74",2.06B,0.38%
2018-10-26,"24,717.63","25,031.49","25,062.20","24,589.04",1.74B,-1.11%
2018-10-25,"24,994.46","24,766.72","24,994.46","24,653.79",2.36B,-1.01%
2018-10-24,"25,249.78","25,401.17","25,653.36","25,194.29",2.02B,-0.38%
2018-10-23,"25,346.55","26,015.49","26,015.49","25,315.76",1.83B,-3.08%
2018-10-22,"26,153.15","25,668.33","26,234.86","25,668.33",2.29B,2.32%
2018-10-19,"25,561.40","25,172.03","25,743.45","25,090.30",2.10B,0.42%
2018-10-18,"25,454.55","25,674.66","25,674.66","25,261.72",1.82B,-0.03%
2018-10-16,"25,462.26","25,586.16","25,712.13","25,266.54",1.51B,0.07%
2018-10-15,"25,445.06","25,683.59","25,683.59","25,399.54",1.66B,-1.38%
2018-10-12,"25,801.49","25,401.41","25,835.76","25,286.86",2.16B,2.12%
2018-10-11,"25,266.37","25,392.90","25,437.85","25,125.22",3.19B,-3.54%
2018-10-10,"26,193.07","26,281.28","26,499.84","26,193.07",1.77B,0.08%
2018-10-09,"26,172.91","26,194.17","26,366.60","26,067.51",1.80B,-0.11%
2018-10-08,"26,202.57","26,717.60","26,717.60","26,187.83",2.37B,-1.39%
2018-10-05,"26,572.57","26,503.75","26,639.64","26,373.46",1.74B,-0.19%
2018-10-04,"26,623.87","27,029.40","27,029.40","26,551.44",1.96B,-1.73%
2018-10-03,"27,091.26","26,840.20","27,270.16","26,840.20",1.36B,-0.13%
2018-10-02,"27,126.38","27,716.16","27,716.16","27,073.08",2.15B,-2.38%
