日期,收盘,开盘,高,低,交易量,涨跌幅
2012年7月20日,"11,622.91","11,613.14","11,642.65","11,586.32",118.15M,-0.37%
2012年7月19日,"11,665.70","11,620.91","11,674.37","11,585.42",195.02M,0.75%
2012年7月18日,"11,579.15","11,578.51","11,615.38","11,554.75",131.48M,0.07%
2012年7月17日,"11,571.19","11,553.16","11,572.21","11,479.52",133.91M,0.43%
2012年7月16日,"11,521.18","11,511.25","11,542.38","11,467.61",134.89M,0.06%
2012年7月13日,"11,514.53","11,470.22","11,525.75","11,451.27",148.96M,0.78%
2012年7月12日,"11,425.47","11,473.54","11,527.19","11,366.74",164.43M,-1.03%
2012年7月11日,"11,544.64","11,496.36","11,561.64","11,488.84",159.79M,0.28%
2012年7月10日,"11,512.22","11,643.54","11,706.68","11,459.77",154.98M,-1.05%
2012年7月9日,"11,634.67","11,659.59","11,692.45","11,565.04",127.93M,-0.22%
2012年7月6日,"11,659.96","11,727.70","11,750.83","11,646.77",153.94M,-1.33%
2012年7月5日,"11,817.03","11,879.51","11,894.81","11,816.91",178.43M,-0.81%
2012年7月4日,"11,913.87","11,841.26","11,936.16","11,829.85",83.93M,0.55%
2012年7月3日,"11,848.75","11,727.50","11,885.33","11,596.56",191.70M,2.17%
2012年6月29日,"11,596.56","11,621.37","11,629.62","11,483.83",227.39M,1.50%
2012年6月28日,"11,424.70","11,384.39","11,424.70","11,270.15",222.92M,0.12%
2012年6月27日,"11,410.94","11,357.88","11,419.36","11,326.91",146.45M,0.68%
2012年6月26日,"11,334.42","11,310.11","11,344.99","11,251.85",182.89M,0.04%
2012年6月25日,"11,330.39","11,373.62","11,419.83","11,295.06",124.80M,-0.92%
2012年6月22日,"11,435.54","11,453.54","11,472.72","11,381.71",137.14M,0.24%
2012年6月21日,"11,408.32","11,698.56","11,752.92","11,405.83",172.55M,-2.99%
2012年6月20日,"11,759.34","11,778.00","11,824.61","11,681.23",161.46M,-0.25%
2012年6月19日,"11,788.36","11,633.04","11,801.94","11,623.69",175.49M,1.61%
2012年6月18日,"11,601.13","11,490.35","11,635.06","11,483.73",240.21M,0.66%
2012年6月15日,"11,524.90","11,495.76","11,540.43","11,487.63",350.27M,0.51%
2012年6月14日,"11,466.42","11,520.05","11,517.28","11,423.24",196.19M,-0.27%
2012年6月13日,"11,497.87","11,452.62","11,580.39","11,440.36",190.98M,0.00%
2012年6月12日,"11,497.30","11,432.87","11,497.30","11,385.50",218.52M,0.84%
2012年6月11日,"11,401.78","11,592.49","11,593.66","11,382.37",145.43M,-0.86%
2012年6月8日,"11,500.63","11,515.33","11,575.33","11,480.45",140.08M,-0.79%
2012年6月7日,"11,592.12","11,716.27","11,727.58","11,586.03",190.28M,-0.35%
2012年6月6日,"11,633.40","11,607.07","11,686.99","11,517.66",219.27M,1.09%
2012年6月5日,"11,507.71","11,331.35","11,511.58","11,325.27",196.55M,1.52%
2012年6月4日,"11,335.77","11,347.05","11,370.09","11,209.55",191.44M,-0.22%
2012年6月1日,"11,361.20","11,413.12","11,512.83","11,344.43",269.93M,-1.32%
2012年5月31日,"11,513.21","11,459.18","11,518.44","11,361.37",240.42M,0.70%
2012年5月30日,"11,433.22","11,498.31","11,609.30","11,422.69",176.00M,-1.52%
2012年5月29日,"11,609.30","11,611.50","11,687.71","11,572.49",157.05M,0.37%
2012年5月28日,"11,566.15","11,622.06","11,634.83","11,523.47",82.64M,-0.09%
2012年5月25日,"11,576.47","11,569.29","11,588.29","11,524.68",155.87M,0.09%
2012年5月24日,"11,566.07","11,600.99","11,627.59","11,472.95",184.82M,0.01%
2012年5月23日,"11,564.80","11,363.66","11,567.20","11,260.04",194.36M,0.99%
2012年5月22日,"11,451.78","11,444.61","11,534.20","11,283.00",191.02M,1.52%
2012年5月18日,"11,280.64","11,415.20","11,435.70","11,256.72",213.16M,-0.44%
2012年5月17日,"11,330.68","11,370.25","11,421.83","11,317.11",255.38M,0.04%
2012年5月16日,"11,326.08","11,348.15","11,474.05","11,298.46",213.10M,-0.15%
2012年5月15日,"11,343.05","11,494.83","11,502.24","11,325.71",187.47M,-1.27%
