日期,收盘,开盘,高,低,交易量,涨跌幅
2021年1月12日,"1,453.28","1,479.53","1,484.84","1,453.01",12.07M,-1.58%
2021年1月11日,"1,476.62","1,477.85","1,487.36","1,468.64",13.02M,-0.57%
2021年1月8日,"1,485.15","1,486.11","1,492.43","1,478.05",13.77M,0.83%
2021年1月7日,"1,472.97","1,466.61","1,480.20","1,466.61",15.50M,1.06%
2021年1月6日,"1,457.48","1,472.86","1,473.01","1,456.98",12.77M,-0.58%
2021年1月5日,"1,466.02","1,485.84","1,487.62","1,465.61",12.62M,-1.45%
2021年1月4日,"1,487.58","1,475.58","1,491.59","1,472.84",12.52M,1.53%
2020年12月30日,"1,465.17","1,476.69","1,481.80","1,465.17",8.19M,-0.67%
2020年12月29日,"1,475.07","1,480.84","1,484.45","1,471.55",7.50M,0.17%
2020年12月28日,"1,472.55","1,454.04","1,473.85","1,449.67",7.00M,1.93%
2020年12月23日,"1,444.69","1,458.77","1,459.44","1,439.97",8.56M,-0.54%
2020年12月22日,"1,452.58","1,447.83","1,454.43","1,445.18",9.47M,0.73%
2020年12月21日,"1,441.99","1,460.48","1,460.54","1,434.38",14.53M,-0.88%
2020年12月18日,"1,454.79","1,432.16","1,454.79","1,430.45",19.27M,1.63%
2020年12月17日,"1,431.39","1,436.17","1,443.62","1,427.63",14.67M,0.10%
2020年12月16日,"1,429.97","1,407.83","1,433.59","1,403.52",15.66M,1.77%
2020年12月15日,"1,405.04","1,411.20","1,412.73","1,394.66",14.69M,-0.39%
2020年12月14日,"1,410.58","1,405.11","1,412.06","1,396.98",11.81M,0.87%
2020年12月11日,"1,398.38","1,394.59","1,404.90","1,386.97",13.03M,0.27%
2020年12月10日,"1,394.58","1,409.33","1,411.46","1,392.99",13.79M,-0.88%
2020年12月9日,"1,406.91","1,398.66","1,411.93","1,387.82",12.37M,0.96%
2020年12月8日,"1,393.51","1,382.48","1,393.51","1,379.48",11.19M,0.95%
2020年12月7日,"1,380.43","1,379.07","1,388.01","1,378.07",11.27M,0.65%
2020年12月4日,"1,371.47","1,375.49","1,379.73","1,367.84",13.54M,0.11%
2020年12月3日,"1,369.94","1,391.16","1,395.27","1,369.94",11.81M,-1.52%
2020年12月2日,"1,391.02","1,385.95","1,406.78","1,382.24",12.06M,-0.08%
2020年12月1日,"1,392.14","1,404.74","1,408.62","1,387.54",13.18M,-0.90%
2020年11月30日,"1,404.78","1,403.02","1,419.07","1,401.02",24.48M,0.23%
2020年11月27日,"1,401.59","1,379.80","1,401.59","1,378.23",10.10M,1.31%
2020年11月26日,"1,383.41","1,378.76","1,386.87","1,373.02",7.91M,0.68%
2020年11月25日,"1,374.06","1,375.87","1,381.85","1,368.96",12.43M,0.14%
2020年11月24日,"1,372.09","1,397.40","1,399.93","1,371.36",38.57M,-1.69%
2020年11月23日,"1,395.64","1,411.71","1,411.92","1,395.27",11.12M,-0.99%
2020年11月20日,"1,409.55","1,386.66","1,409.55","1,386.66",11.53M,1.54%
2020年11月19日,"1,388.14","1,377.99","1,394.35","1,377.94",12.46M,0.34%
