Date,Price,Open,High,Low,Vol.,Change %
2015-12-24,"3,691.71","3,691.71","3,696.87","3,684.13",3.55M,0.06%
2015-12-23,"3,689.51","3,641.48","3,693.46","3,639.09",16.08M,2.07%
2015-12-22,"3,614.72","3,629.32","3,637.55","3,589.71",14.03M,0.01%
2015-12-21,"3,614.23","3,642.38","3,676.30","3,614.23",19.12M,-0.95%
2015-12-18,"3,648.77","3,660.50","3,685.93","3,641.92",30.11M,-0.74%
2015-12-17,"3,676.09","3,673.06","3,709.84","3,669.28",23.63M,1.68%
2015-12-16,"3,615.45","3,587.75","3,636.53","3,574.68",21.81M,0.93%
2015-12-15,"3,582.18","3,517.20","3,585.55","3,512.44",24.17M,2.56%
2015-12-14,"3,492.90","3,552.69","3,572.16","3,489.04",19.63M,-1.29%
2015-12-11,"3,538.54","3,582.19","3,586.08","3,520.86",20.90M,-1.10%
2015-12-10,"3,577.98","3,580.97","3,600.75","3,557.31",21.45M,-0.21%
2015-12-09,"3,585.39","3,620.50","3,626.16","3,581.35",18.60M,-0.87%
2015-12-08,"3,616.98","3,664.17","3,665.02","3,601.14",25.47M,-1.37%
2015-12-07,"3,667.12","3,664.23","3,699.15","3,656.63",18.87M,0.71%
2015-12-04,"3,641.28","3,637.67","3,653.08","3,616.95",23.20M,-0.18%
2015-12-03,"3,647.71","3,724.53","3,772.94","3,647.71",28.65M,-2.28%
2015-12-02,"3,732.94","3,743.44","3,754.01","3,724.84",17.41M,-0.30%
2015-12-01,"3,744.10","3,767.00","3,773.73","3,733.86",20.31M,-0.45%
2015-11-30,"3,760.89","3,748.22","3,768.94","3,736.44",41.06M,0.22%
2015-11-27,"3,752.79","3,744.28","3,772.05","3,733.58",13.77M,0.00%
2015-11-26,"3,752.71","3,712.09","3,752.71","3,709.03",17.67M,1.19%
2015-11-25,"3,708.69","3,677.40","3,727.99","3,671.63",19.05M,0.99%
2015-11-24,"3,672.45","3,680.70","3,681.90","3,640.83",18.41M,-0.55%
2015-11-23,"3,692.64","3,697.44","3,716.35","3,680.00",13.13M,-0.27%
2015-11-20,"3,702.62","3,706.18","3,714.82","3,681.12",15.58M,0.02%
2015-11-19,"3,701.84","3,696.61","3,726.40","3,695.15",15.00M,0.50%
2015-11-18,"3,683.38","3,674.62","3,692.52","3,672.31",18.12M,-0.32%
2015-11-17,"3,695.04","3,651.48","3,695.04","3,646.30",18.92M,1.72%
2015-11-16,"3,632.44","3,585.08","3,638.53","3,582.01",14.22M,0.81%
2015-11-13,"3,603.18","3,602.47","3,620.35","3,582.33",16.33M,-0.17%
2015-11-12,"3,609.24","3,651.38","3,666.06","3,599.86",20.84M,-1.27%
2015-11-11,"3,655.69","3,625.90","3,671.30","3,621.18",20.40M,1.18%
2015-11-10,"3,612.97","3,624.76","3,633.44","3,594.28",21.29M,-0.30%
2015-11-09,"3,623.84","3,652.00","3,659.29","3,618.83",16.03M,-0.69%
2015-11-06,"3,649.19","3,610.27","3,659.73","3,607.17",14.90M,1.36%
2015-11-05,"3,600.24","3,628.51","3,628.68","3,593.98",18.75M,-0.26%
2015-11-04,"3,609.71","3,611.45","3,636.20","3,603.70",14.20M,0.00%
2015-11-03,"3,609.80","3,620.71","3,625.79","3,600.62",13.91M,-0.40%
2015-11-02,"3,624.18","3,571.56","3,632.10","3,571.56",14.27M,0.67%
2015-10-30,"3,600.20","3,594.37","3,611.09","3,575.52",13.40M,0.37%
2015-10-29,"3,587.02","3,603.54","3,604.92","3,567.09",14.34M,0.21%
2015-10-28,"3,579.36","3,528.79","3,581.49","3,526.87",13.29M,1.87%
2015-10-27,"3,513.69","3,519.23","3,542.87","3,511.13",13.41M,-0.35%
2015-10-26,"3,526.03","3,517.19","3,536.44","3,503.85",11.74M,0.13%
2015-10-23,"3,521.52","3,483.11","3,531.62","3,478.35",19.89M,1.71%
2015-10-22,"3,462.30","3,407.11","3,470.41","3,405.06",17.99M,1.03%
2015-10-21,"3,427.15","3,445.83","3,449.86","3,418.53",14.68M,-0.20%
2015-10-20,"3,434.00","3,439.46","3,460.37","3,423.44",13.10M,-0.16%
2015-10-19,"3,439.42","3,426.62","3,454.00","3,425.35",9.98M,0.40%
2015-10-16,"3,425.61","3,413.07","3,435.99","3,409.14",14.14M,0.76%
2015-10-15,"3,399.62","3,401.54","3,404.42","3,383.73",16.14M,0.67%
2015-10-14,"3,377.02","3,380.03","3,408.19","3,363.22",18.88M,-0.57%
2015-10-13,"3,396.55","3,421.03","3,421.03","3,372.72",16.64M,-0.71%
2015-10-12,"3,420.95","3,453.08","3,457.64","3,408.49",13.14M,-0.63%
2015-10-09,"3,442.77","3,461.38","3,464.58","3,431.65",14.52M,0.19%
2015-10-08,"3,436.18","3,440.26","3,452.60","3,419.63",13.53M,-0.11%
2015-10-07,"3,440.02","3,465.85","3,487.30","3,434.72",18.47M,-0.21%
2015-10-06,"3,447.09","3,433.51","3,465.06","3,418.66",13.66M,0.26%
2015-10-05,"3,438.17","3,389.25","3,445.84","3,379.49",16.74M,2.85%
2015-10-02,"3,342.93","3,356.17","3,384.09","3,291.95",18.00M,0.47%
2015-10-01,"3,327.19","3,368.86","3,397.44","3,316.86",19.13M,-0.52%
2015-09-30,"3,344.50","3,340.04","3,358.71","3,324.26",17.79M,1.45%
2015-09-29,"3,296.76","3,284.31","3,327.10","3,271.84",16.92M,-0.64%
2015-09-28,"3,317.89","3,376.14","3,387.82","3,317.83",16.36M,-1.79%
