Date,Price,Open,High,Low,Vol.,Change %
2020-01-23,605.62,610.17,610.35,605.41,68.45M,-0.97%
2020-01-22,611.56,609.9,613.18,609.09,66.66M,-0.05%
2020-01-21,611.89,610.45,611.89,607.32,57.66M,-0.38%
2020-01-20,614.23,615.07,615.6,613.39,38.12M,-0.22%
2020-01-17,615.57,613.95,616.46,613.45,63.17M,0.57%
2020-01-16,612.06,612.41,614.41,611.36,55.78M,0.08%
2020-01-15,611.56,611.99,612.69,609.62,66.75M,0.07%
2020-01-14,611.15,609.52,611.88,605.07,57.56M,0.37%
2020-01-13,608.9,610.48,611.36,606.49,55.90M,-0.25%
2020-01-10,610.43,614.15,614.17,610.42,52.22M,-0.35%
2020-01-09,612.55,614.02,615.74,612.5,71.95M,0.34%
2020-01-08,610.48,607.53,611.42,606.56,67.00M,0.13%
2020-01-07,609.71,609.83,612.19,607.89,61.03M,0.41%
2020-01-06,607.24,605.95,607.84,601.82,66.38M,-0.63%
2020-01-03,611.06,609.9,611.58,607.11,57.51M,-0.30%
2020-01-02,612.87,608.01,613.95,607.75,57.96M,1.37%
2019-12-31,604.58,603.6,607.06,603.6,18.22M,-0.21%
2019-12-30,605.83,609.77,610.61,605.83,34.03M,-0.85%
2019-12-27,611.01,611.12,612.49,609.11,44.62M,0.28%
2019-12-24,609.33,609,609.78,608.6,14.89M,0.02%
2019-12-23,609.22,608.07,609.87,607.2,40.44M,-0.01%
2019-12-20,609.26,606.29,609.38,604.52,119.92M,0.58%
2019-12-19,605.77,606.46,607.09,604.14,72.15M,-0.04%
2019-12-18,606.04,606.3,608.49,605.96,67.37M,-0.03%
2019-12-17,606.23,608.03,608.9,605.79,84.50M,-0.73%
2019-12-16,610.67,605.89,612.4,605.89,61.81M,1.30%
2019-12-13,602.86,605.91,607.58,601.5,99.52M,0.53%
2019-12-12,599.71,599.78,602.59,595.76,93.25M,0.13%
2019-12-11,598.96,599.25,600.62,596.53,53.98M,-0.16%
2019-12-10,599.93,601.14,601.14,593.77,51.50M,-0.39%
2019-12-09,602.26,602.4,604.17,601.11,44.88M,-0.01%
2019-12-06,602.3,594.04,603.03,593.75,57.01M,1.84%
2019-12-05,591.44,592.56,595.96,591.44,56.78M,0.08%
2019-12-04,590.99,583.65,591.99,583.65,67.75M,1.38%
2019-12-03,582.93,588.8,590.88,581.02,80.15M,-0.71%
2019-12-02,587.12,598.17,602.13,585.94,82.82M,-1.70%
2019-11-29,597.29,595.67,600.68,595.42,48.91M,-0.10%
2019-11-28,597.87,596.81,597.97,596.15,35.42M,-0.08%
2019-11-27,598.37,599.34,599.92,597.32,53.23M,0.13%
2019-11-26,597.59,596.74,598.4,594.55,105.53M,0.16%
2019-11-25,596.66,594.93,597.54,594.87,54.08M,0.67%
