Date,Price,Open,High,Low,Vol.,Change %
2018-11-22,"87,477","87,269","87,656","87,222",2.31M,0.24%
2018-11-21,"87,269","87,896","87,896","86,254",4.27M,-0.72%
2018-11-19,"87,901","88,472","88,484","87,047",3.75M,-0.69%
2018-11-16,"88,515","85,975","88,516","85,975",5.34M,2.96%
2018-11-14,"85,973","84,898","85,973","84,267",5.76M,1.25%
2018-11-13,"84,914","85,531","85,941","84,071",4.55M,-0.71%
2018-11-12,"85,525","85,644","86,227","85,009",3.64M,-0.14%
2018-11-09,"85,641","85,620","86,233","84,030",4.96M,0.02%
2018-11-08,"85,620","87,719","88,570","85,620",5.46M,-2.39%
2018-11-07,"87,714","88,676","89,565","87,541",4.51M,-1.08%
2018-11-06,"88,669","89,587","89,587","88,066",4.50M,-1.04%
2018-11-05,"89,598","88,418","89,598","88,347",4.76M,1.33%
2018-11-01,"88,419","87,428","89,017","87,094",6.06M,1.14%
2018-10-31,"87,424","86,889","88,028","86,213",6.07M,0.62%
2018-10-30,"86,886","83,802","86,990","83,802",6.76M,3.69%
2018-10-29,"83,797","85,728","88,377","82,783",7.97M,-2.24%
2018-10-26,"85,720","84,084","85,720","83,497",6.67M,1.95%
2018-10-25,"84,084","83,124","84,831","83,124",5.53M,1.23%
2018-10-24,"83,064","85,302","85,786","83,035",4.82M,-2.62%
2018-10-23,"85,300","85,595","85,595","84,032",4.52M,-0.35%
2018-10-22,"85,597","84,222","85,772","84,222",3.99M,1.63%
2018-10-19,"84,220","83,845","84,954","83,667",3.87M,0.44%
2018-10-18,"83,847","85,760","85,760","83,846",4.21M,-2.24%
2018-10-17,"85,764","85,714","86,167","84,944",5.01M,0.05%
2018-10-16,"85,718","83,420","85,718","83,420",4.96M,2.83%
2018-10-15,"83,360","82,922","84,278","82,922",4.93M,0.53%
2018-10-11,"82,921","83,700","84,749","82,607",5.35M,-0.91%
2018-10-10,"83,679","86,084","86,085","83,679",5.38M,-2.80%
2018-10-09,"86,088","86,053","86,573","85,433",6.66M,0.00%
2018-10-08,"86,084","82,324","87,333","82,324",10.31M,4.57%
2018-10-05,"82,322","82,972","83,805","82,030",5.56M,-0.76%
2018-10-04,"82,953","83,275","83,430","81,892",5.09M,-0.38%
2018-10-03,"83,273","81,624","85,442","81,623",7.85M,2.04%
2018-10-02,"81,612","78,625","81,778","78,625",6.13M,3.80%
2018-10-01,"78,624","79,350","79,557","78,091",3.23M,-0.91%
2018-09-28,"79,342","80,000","80,000","78,967",4.19M,-0.82%
2018-09-27,"80,000","78,676","80,107","78,676",4.61M,1.71%
2018-09-26,"78,656","78,634","79,461","78,530",3.85M,0.03%
2018-09-25,"78,630","77,980","78,688","77,005",3.81M,0.83%
2018-09-24,"77,984","79,447","79,447","77,857",2.91M,-1.84%
2018-09-21,"79,444","78,116","80,002","78,116",4.81M,1.70%
2018-09-20,"78,116","78,169","78,944","77,820",3.23M,-0.07%
2018-09-19,"78,169","78,268","79,021","77,624",3.90M,-0.19%
2018-09-18,"78,314","76,781","78,454","76,677",4.30M,1.99%
2018-09-17,"76,789","75,428","76,893","75,227",3.50M,1.80%
2018-09-14,"75,429","74,687","75,705","74,445",3.33M,0.99%
2018-09-13,"74,687","75,126","75,407","74,501",3.16M,-0.58%
2018-09-12,"75,125","74,680","75,680","74,499",3.82M,0.63%
2018-09-11,"74,657","76,437","76,437","74,275",3.51M,-2.33%
2018-09-10,"76,436","76,416","77,293","76,115",3.20M,0.03%
2018-09-06,"76,416","75,098","76,533","74,986",3.40M,1.76%
