日期,收盘,开盘,高,低,交易量,涨跌幅
2017年12月28日,"2,480.25","2,475.48","2,484.41","2,464.31",14.43M,-0.02%
2017年12月27日,"2,480.63","2,445.51","2,480.63","2,445.51",16.98M,1.43%
2017年12月22日,"2,445.65","2,462.69","2,468.27","2,445.65",10.11M,-0.73%
2017年12月21日,"2,463.59","2,460.57","2,467.89","2,450.37",14.93M,0.17%
2017年12月20日,"2,459.33","2,455.50","2,473.47","2,453.77",16.78M,0.14%
2017年12月19日,"2,455.99","2,465.96","2,478.97","2,455.99",14.65M,-0.41%
2017年12月18日,"2,466.08","2,420.28","2,466.08","2,420.28",16.87M,2.03%
2017年12月15日,"2,416.95","2,430.72","2,432.48","2,402.95",39.45M,-0.73%
2017年12月14日,"2,434.61","2,405.42","2,434.61","2,404.08",25.03M,1.04%
2017年12月13日,"2,409.46","2,411.34","2,415.97","2,400.94",16.89M,-0.17%
2017年12月12日,"2,413.68","2,385.06","2,413.68","2,375.20",23.13M,1.12%
2017年12月11日,"2,386.93","2,410.81","2,417.30","2,381.80",13.45M,-0.91%
2017年12月8日,"2,408.83","2,400.60","2,426.90","2,397.88",24.55M,0.65%
2017年12月7日,"2,393.34","2,396.49","2,414.00","2,378.22",30.21M,-0.06%
2017年12月6日,"2,394.67","2,400.90","2,405.69","2,383.18",28.56M,-0.54%
2017年12月5日,"2,407.72","2,403.25","2,423.52","2,396.60",16.61M,0.15%
2017年12月4日,"2,404.15","2,392.69","2,424.97","2,370.52",18.50M,0.60%
2017年12月1日,"2,389.92","2,411.13","2,430.44","2,376.91",20.57M,-0.78%
2017年11月30日,"2,408.69","2,436.48","2,449.14","2,408.69",44.73M,-1.13%
2017年11月29日,"2,436.24","2,491.96","2,506.20","2,436.24",17.02M,-1.99%
2017年11月28日,"2,485.71","2,494.79","2,498.45","2,473.94",18.23M,-0.46%
2017年11月27日,"2,497.15","2,477.97","2,504.29","2,471.74",13.57M,0.72%
2017年11月24日,"2,479.25","2,502.59","2,518.04","2,478.62",11.57M,-0.99%
2017年11月23日,"2,503.93","2,482.04","2,514.94","2,473.79",11.57M,0.58%
2017年11月22日,"2,489.50","2,490.63","2,500.37","2,472.85",18.17M,0.02%
2017年11月21日,"2,489.08","2,469.21","2,496.62","2,465.91",21.24M,0.85%
2017年11月20日,"2,468.09","2,438.15","2,470.34","2,431.37",14.08M,0.99%
2017年11月17日,"2,443.83","2,412.64","2,445.70","2,410.81",13.23M,1.36%
2017年11月16日,"2,411.11","2,428.52","2,438.67","2,409.42",24.88M,-0.32%
2017年11月15日,"2,418.96","2,460.26","2,460.26","2,412.78",17.08M,-1.84%
2017年11月14日,"2,464.35","2,464.53","2,477.10","2,456.17",20.01M,0.40%
